ids,lon,lat,30yr_separation(km/day),30yr_separation(km/km)
115420691,-69.860048042706055,42.030991462351246,10.78,0.47
115420691,-69.748510423281417,41.918323331666059,6.74,0.29
115420691,-69.553400928650902,41.826068403296425,2.93,0.12
115420691,-69.439929686633292,41.661993671918296,14.61,0.50
115420691,-69.222669759170415,41.544276015651569,9.15,0.27
115420691,-68.962079602156734,41.504736500831221,7.67,0.33
115420691,-68.905999309597362,41.467836282325408,10.76,0.30
115420691,-68.787290147733714,41.578734480246304,8.73,0.35
115420691,-68.568416113361167,41.583631921201231,17.22,0.52
115420691,-68.451700507699726,41.596511792809665,18.97,0.30
115420691,-68.10522021311526,41.821598596751159,3.92,0.07
115420691,-68.01231007383717,41.827886712511479,6.87,0.10
115420691,-67.852253984496045,41.831126275554759,7.15,0.10
115420691,-67.681784667731108,41.811615712015417,18.22,0.26
115420691,-67.674538647510005,41.852264278505949,12.28,0.19
115420691,-67.284863093262089,42.074090770623059,21.78,0.27
115420691,-67.193677722405354,42.001568344425358,22.03,0.29
115420691,-67.19227227849737,42.074558977102008,17.99,0.23
115420691,-67.174445535490705,42.099711768865795,14.11,0.18
115420691,-67.094177526289315,42.090531451012112,4.01,0.06
115420691,-66.690700057770727,42.125375573512088,5.04,0.11
115420691,-66.664415877314056,42.147263359626045,6.69,0.14
115420691,-66.522242457494315,42.102669700961577,5.01,0.13
115420691,-66.416719985048061,42.103611416233619,5.98,0.10
115420691,-66.208297289134123,41.842294287387304,13.73,0.31
115420691,-66.197746871399204,41.846982583580001,10.68,0.23
115420691,-66.296479875635086,41.774947865402069,9.70,0.15
115420691,-66.38808412593967,41.763400687555759,20.43,0.30
115420691,-66.347062085204357,41.53258107588632,2.76,0.07
115420691,-66.325563379644024,41.515229377363681,8.21,0.16
115430683,-69.901244872661778,42.992644307934775,8.10,0.46
115430683,-69.905831745938187,42.878173542588527,6.84,0.41
115430683,-69.854118106606691,42.822187539345684,4.59,0.21
115430683,-69.781682714700608,42.706665164684836,8.43,0.51
115430683,-69.731561301693787,42.636006894816603,3.03,0.18
115430683,-69.58592489983964,42.622027585223378,8.30,0.39
115430683,-69.649279853418236,42.44728697210676,2.91,0.15
115430683,-69.513052727293029,42.467132050536499,7.29,0.27
115430683,-69.330794727992767,42.4752509040962,2.35,0.10
115430683,-69.242854038516285,42.377044273985554,6.84,0.19
115430683,-69.266468244155533,42.388349951522009,8.00,0.46
115430683,-69.232516173816933,42.429296269403352,12.05,1.20
115430683,-69.194594023238125,42.430928325742521,1.21,0.08
115430683,-69.163314189486357,42.457996808346195,19.14,1.07
115430683,-69.111647204286655,42.566617018686969,10.33,0.49
115430683,-69.114963615404207,42.591026056923823,3.43,0.15
115430683,-69.164169143925008,42.807270999041201,14.22,0.71
115430683,-69.272385693657412,42.752523750106022,4.74,0.20
115430683,-69.438155609368906,42.707634581416457,2.03,0.08
115430683,-69.466323522190095,42.719336040985681,4.01,0.23
115430683,-69.406003446299081,42.719636211127579,7.74,0.31
115430683,-69.32767316901446,42.745782712070827,2.16,0.07
115430683,-69.247898726248081,42.712997163979914,6.84,0.18
115430683,-69.264852434413527,42.651284274336938,10.83,0.32
115430683,-69.35160307531963,42.664953903038942,5.67,0.25
115430683,-69.351049200590154,42.671700988105357,10.80,0.23
115430683,-69.488921667751725,42.683074103274045,11.66,0.39
115430683,-69.734839348101573,42.776109389769978,0.93,0.04
115430683,-69.741141311790315,42.798109338622965,3.42,0.16
115430683,-69.728601016995299,42.750220910958319,2.49,0.14
