ids,lon,lat,30yr_separation(km/day),30yr_separation(km/km)
135430701.0,-70.368873995201483,42.857333072287012,18.61,0.27
135430701.0,-69.943809945396055,42.781610419592646,22.24,0.46
135430701.0,-69.864899977658538,42.486062204096775,11.84,0.19
135430701.0,-69.776796916527161,42.328409514424933,16.64,0.31
135430701.0,-69.761736929334617,42.39460198923296,23.04,0.37
135430701.0,-69.571800645484558,42.386474455691634,17.78,0.24
135430701.0,-69.161453961165392,42.166553552806484,22.50,0.30
135430701.0,-68.900891878569254,42.257663926008,52.30,0.88
135430701.0,-68.554360955800263,42.440359419485155,27.17,0.61
135430701.0,-68.676858537728478,42.539812240050907,44.87,0.51
135430701.0,-68.669736823260465,43.118592162485754,34.74,0.78
135430701.0,-68.601449196211135,43.047355048921261,27.69,0.59
135430701.0,-68.291116884630711,43.080255103147877,27.11,0.40
135430701.0,-67.845917811694108,43.156357248554947,13.99,0.13
135430701.0,-67.476791768708651,43.004972883129724,24.12,0.17
135430701.0,-67.553466995129952,42.884832595002514,17.06,0.19
135430701.0,-67.37144116947367,42.84383553882882,34.70,0.35
135430701.0,-66.877093087237967,42.565659991724132,26.85,0.32
135430701.0,-66.614137055656599,42.385926908972593,13.29,0.11
135430701.0,-66.351481270551744,42.501319156488087,34.45,0.18
135430701.0,-66.412874517513472,42.796848045939406,53.28,0.45
135430701.0,-66.451734522769357,43.116885774606217,40.05,0.30
135430701.0,-66.386983904567288,43.033542189321146,66.67,0.39
135430701.0,-66.451054853356396,43.353127228753991,58.71,0.38
135430701.0,-66.601006647979446,43.81049093960975,51.33,0.44
135430701.0,-66.414763016550808,44.167841573045806,2.90,0.02
135430701.0,-66.462178093181791,44.325465696289477,64.20,0.49
137410702.0,-69.950509763118049,42.111337313715921,27.30,0.30
137410702.0,-68.599943123441662,41.250197889163843,57.47,0.32
137410702.0,-66.955872290857371,41.869537805842093,22.19,0.11
137410702.0,-66.983756444491803,41.84805911839841,36.65,0.16
138410701.0,-70.310025628666608,41.449378325334131,8.19,0.08
138410701.0,-70.243246082380722,41.490118290255957,12.32,0.14
138410701.0,-70.2452463825108,41.432906789298059,0.44,0.00
138410701.0,-70.196139543380383,41.478841490909282,44.06,0.30
138410701.0,-69.835311099316087,41.22641613912586,52.22,0.32
138410701.0,-69.745307739404169,41.22993453332208,30.23,0.15
138410701.0,-69.606717803918514,41.24759232858213,35.25,0.18
138410701.0,-69.1744384935281,41.099517416751084,50.50,0.34
138410701.0,-69.00490940422128,41.171753330138635,54.60,0.43
138410701.0,-68.713572018656976,41.583312409100756,72.21,1.09
138410701.0,-68.359817005381458,42.062094667772165,13.04,0.22
138410701.0,-68.455008076198965,42.016976804698658,19.62,0.29
138410701.0,-68.592736411137182,42.112115474135393,21.79,0.22
138410701.0,-68.744935965553893,42.227669768609886,17.88,0.30
138410701.0,-68.919958076396753,42.328720741111425,13.90,0.23
139420691.0,-69.871669603330986,41.378693769776362,3.00,0.02
139420691.0,-70.060978131767087,41.155573325759136,23.25,0.16
139420691.0,-70.002842190539312,41.092643724078009,30.16,0.19
139420691.0,-69.948208037555929,41.103334472462699,32.42,0.20
139420691.0,-70.234198006292857,41.003451394528064,5.74,0.09
139420691.0,-70.642845985084335,41.159529269423793,11.25,0.23
139420691.0,-70.597228409986158,41.106343159354424,35.38,0.90
