Turtle ID,Observation Date,Observation Town
ST2004-141,2-Dec-04,Barnstable
ST2004-133,16-Nov-04,Barnstable
ST2004-155,16-Dec-04,Brewster
ST2004-137,30-Nov-04,Brewster
ST2004-126,10-Nov-04,Chappaquiddick
ST2004-151,12-Dec-04,Dennis
ST2004-130,15-Nov-04,Dennis
ST2004-131,15-Nov-04,Dennis
ST2004-129,14-Nov-04,Dennis
ST2004-127,13-Nov-04,Dennis
ST2004-150,8-Dec-04,Eastham
ST2004-144,5-Dec-04,Eastham
ST2004-135,27-Nov-04,Eastham
ST2004-152,13-Dec-04,Provincetown
ST2004-121,24-Oct-04,Sandwich
ST2004-162,31-Dec-04,Truro
ST2004-158,17-Dec-04,Truro
ST2004-153,14-Dec-04,Truro
ST2004-154,14-Dec-04,Truro
ST2004-145,5-Dec-04,Truro
ST2004-147,5-Dec-04,Truro
ST2004-148,5-Dec-04,Truro
ST2004-139,2-Dec-04,Truro
ST2004-136,27-Nov-04,Truro
ST2004-134,26-Nov-04,Truro
ST2004-124,6-Nov-04,Truro
ST2004-119,21-Oct-04,Truro
ST2004-149,4-Dec-04,Wareham
ST2004-159,18-Dec-04,Wellfleet
ST2004-160,18-Dec-04,Wellfleet
ST2004-156,17-Dec-04,Wellfleet
ST2004-157,17-Dec-04,Wellfleet
ST2004-146,5-Dec-04,Wellfleet
ST2004-142,3-Dec-04,Wellfleet
ST2004-140,2-Dec-04,Wellfleet
ST2004-132,16-Nov-04,Yarmouth
